@relation jedit-4.1.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {-1,1}

@data
7,1,2,9,10,15,4,5,4,0.583333,81,1,2,0,0.457143,0,0,10.285714,3,1.428600,-1
4,1,5,9,5,6,9,0,4,2,11,0,0,0,0.750000,0,0,1.750000,1,0.750000,-1
1,1,0,2,1,0,2,0,0,2,191,0,0,0,0,0,0,152,0,0,-1
32,1,0,38,123,210,11,31,29,0.683871,1566,0.900000,2,0,0.136719,0,0,47.625000,31,4.250000,1
15,6,0,13,97,65,9,11,6,0.738095,512,1,1,0.981735,0.253333,1,1,32.533333,8,1.266700,-1
3,2,0,11,10,3,4,7,2,2,79,0,0,0.900000,0.533333,1,1,25.333333,1,0.666700,-1
9,6,0,10,48,18,4,9,1,0.718750,210,1,1,0.988183,0.500000,4,12,21.888889,2,1,-1
7,1,0,21,19,9,18,3,4,0.611111,141,0.666667,1,0,0.208333,0,0,18.714286,5,1.428600,-1
17,1,0,4,36,100,4,0,16,0.700000,679,0.800000,0,0,0.323529,0,0,38.352941,13,2.411800,-1
4,6,0,5,39,0,1,4,3,0.700000,507,1,10,0.997019,1,3,5,120.750000,6,2,-1
6,2,0,4,22,3,1,3,0,1.062500,283,0,0,0.636364,0.285714,1,2,43.500000,24,5,-1
5,3,0,4,18,8,0,4,5,0.375000,176,1,2,0.818182,0.366667,2,3,33,7,2.600000,-1
2,2,0,2,3,1,2,2,2,2,8,0,0,0.888889,0.625000,0,0,3,1,0.500000,-1
4,8,0,13,30,6,3,13,4,2,119,0,0,0.996516,0.875000,0,0,28.750000,7,2.250000,-1
11,1,0,2,16,35,1,2,11,0.600000,52,1,1,0,0.424242,0,0,3.636364,1,0.909100,-1
5,6,0,5,22,4,2,4,1,0.250000,353,1,2,0.994056,0.500000,1,3,67.200000,5,1.600000,-1
4,2,0,4,8,4,1,3,0,0.666667,55,1,0,0.700000,0.375000,1,2,12.250000,6,2,-1
5,6,0,7,36,4,2,6,1,0.464286,247,1,2,0.994056,0.500000,2,4,47,4,1.800000,-1
4,8,0,14,30,6,3,14,4,2,132,0,0,0.996516,0.875000,0,0,32,7,2.250000,-1
25,1,0,48,72,200,41,16,18,0.871212,375,0.909091,3,0,0.113095,0,0,13.560000,8,1.560000,1
6,1,0,2,40,13,0,2,5,0.600000,375,0,0,0,0.280000,0,0,61.333333,11,3,-1
4,3,0,8,13,0,8,1,3,1.222222,71,0.133333,0,0.850000,0.500000,1,1,13,1,0.750000,-1
2,2,0,11,9,1,3,8,1,2,65,0,0,0.947368,0.625000,0,0,31.500000,1,0.500000,-1
5,1,0,1,24,10,1,0,5,2,206,0,0,0,0.300000,0,0,40.200000,6,3,-1
19,1,0,19,71,91,6,15,9,0.708333,1313,0.625000,1,0,0.274854,0,0,67.684211,5,1.631600,-1
5,2,0,5,12,0,2,3,0,0.375000,127,1,0,0.636364,0.300000,1,2,24,4,1.600000,-1
5,7,0,6,40,6,3,4,3,0.750000,214,1,0,0.993939,0.300000,2,5,41.400000,1,0.800000,-1
5,3,0,4,18,8,0,4,5,0.375000,176,1,2,0.818182,0.366667,2,3,33,7,2.600000,-1
13,1,0,7,13,78,7,0,13,2,13,0,0,0,0.430769,0,0,0,1,1,-1
6,6,0,7,37,3,3,5,3,0.533333,214,1,1,0.994994,0.320000,2,11,33.666667,8,2.500000,-1
11,1,0,9,20,53,5,6,10,0.782609,477,0.043478,2,0,0.373737,0,0,40.272727,7,3.090900,-1
5,3,0,3,56,2,1,2,5,0.642857,289,1,0,0.987988,0.700000,2,6,55.400000,2,1,1
12,6,0,12,59,38,5,11,1,0.800000,307,1,1,0.983824,0.250000,4,12,24.166667,3,1.583300,1
6,7,0,8,47,9,3,8,3,0.800000,299,1,0,0.992436,0.388889,0,0,48.333333,1,0.833300,-1
6,5,0,12,45,5,6,7,2,0.828571,536,1,3,0.993056,0.300000,0,0,87.166667,3,1.500000,-1
5,7,5,8,27,8,6,3,5,0.625000,121,1,0,0.995360,0.600000,2,2,22.800000,6,1.800000,-1
7,1,0,5,12,13,5,0,6,0.500000,65,1,0,0,0.166667,0,0,8,4,1.571400,-1
19,7,0,5,80,133,3,4,5,0.797980,646,1,0,0.976190,0.180556,3,5,32.421053,5,1.105300,-1
3,2,0,11,14,1,2,10,2,0.875000,134,0,2,0.900000,0.555556,1,3,42.333333,1,0.666700,-1
6,8,0,27,35,13,3,24,4,0.933333,233,1,3,0.997028,0.500000,1,1,37.333333,3,0.666700,-1
2,1,0,5,2,1,4,1,2,2,2,0,0,0,0.625000,0,0,0,1,1,-1
11,4,0,4,23,23,2,2,10,0.533333,492,0.333333,1,0.764706,0.272727,2,4,43.181818,14,3.272700,-1
3,1,0,5,4,3,5,0,2,1.437500,23,0,2,0,0.500000,0,0,4,2,1,-1
86,2,0,8,96,3649,0,8,84,2,696,0,0,0.105263,0.056202,0,0,7.093023,3,1.023300,-1
2,2,0,4,4,1,1,3,2,2,10,0,0,0.750000,0.750000,0,0,4,1,0.500000,-1
7,2,0,9,29,0,2,8,3,0.625000,879,0.666667,2,0.500000,0.250000,0,0,122.857143,3,1.428600,1
11,2,0,12,108,11,2,12,3,0.914286,1839,0.333333,3,0.375000,0.236364,0,0,164.272727,20,5.090900,1
4,8,0,13,39,4,3,13,4,0.666667,237,1,0,0.996516,0.666667,0,0,58,19,5.250000,-1
3,6,0,8,14,3,6,3,3,2,46,0,0,0.997382,0.833333,0,0,14.333333,1,0.666700,-1
2,2,0,10,6,1,5,5,1,2,30,0,0,0.947368,0.625000,0,0,14,1,0.500000,-1
5,1,0,12,27,0,5,8,0,0.500000,158,0,0,0,0.466667,0,0,30,5,1.800000,-1
8,5,0,5,33,0,4,1,8,0.571429,419,1,0,0.989394,0.625000,0,0,51,12,3.375000,-1
3,7,0,5,10,1,2,4,2,0.500000,40,1,1,0.997399,0.400000,1,1,12,1,0.666700,-1
7,1,0,7,52,1,0,7,4,0.714286,343,0.285714,0,0,0.200000,0,0,47,11,3.571400,-1
13,6,0,11,68,42,3,10,1,0.796296,512,1,5,0.982379,0.500000,3,5,37.692308,9,2.153800,1
2,3,0,7,4,1,7,0,2,2,9,0,0,1,0.750000,0,0,3.500000,0,0,-1
11,2,0,6,28,31,1,5,7,0.800000,223,1,1,0.565217,0.333333,1,3,18.545455,8,2.272700,-1
4,8,0,8,28,6,2,8,4,2,129,0,0,0.996516,0.875000,0,0,31.250000,8,2.500000,-1
10,7,0,19,90,15,6,18,5,0.793651,606,1,2,0.986466,0.250000,3,6,58.900000,17,3.400000,1
2,2,0,7,6,1,1,6,1,2,28,0,0,0.947368,0.625000,1,1,13,1,0.500000,-1
56,1,1,47,140,1358,37,18,39,0.940260,1757,0.380952,4,0,0.110160,0,0,30,7,1.696400,1
28,6,0,21,91,206,18,6,15,0.772487,615,1,1,0.970588,0.219388,3,7,20.714286,13,2.357100,-1
6,1,0,4,8,0,4,0,6,0.500000,66,1,0,0,0.750000,0,0,9.666667,2,1,-1
5,5,0,5,28,0,2,5,2,0.666667,119,1,0,0.993912,0.400000,0,0,22.200000,1,0.800000,1
1,1,0,1,2,0,1,0,0,2,6,0,0,0,1,0,0,3,0,0,-1
20,2,0,11,91,190,4,9,19,1,690,0,0,0.672414,0.400000,2,3,33.400000,8,3,1
5,6,0,4,35,0,2,3,3,0.714286,406,1,0,0.994056,0.500000,3,5,77.400000,5,1.800000,-1
14,7,0,14,96,51,2,13,4,0.782051,774,1,0,0.980568,0.214286,0,0,53.428571,6,1.785700,-1
19,1,36,51,30,147,47,7,19,0.888889,240,0.500000,4,0,0.233083,0,0,11.315789,6,1.631600,-1
1,2,0,3,2,0,1,2,1,2,5,0,0,1,1,0,0,4,0,0,-1
2,2,0,10,9,1,2,8,1,2,40,0,0,0.947368,0.600000,1,2,18.500000,1,0.500000,-1
2,1,0,6,2,1,6,1,2,2,2,0,0,0,1,0,0,0,1,1,-1
27,1,0,14,36,293,11,4,26,0.925339,293,1,7,0,0.136364,0,0,9.222222,4,1.148100,1
4,1,0,14,29,0,4,10,3,0.619048,207,0.857143,4,0,0.600000,0,0,49,9,2.500000,-1
9,2,0,19,52,16,4,19,2,0.770833,404,1,4,0.428571,0.246914,0,0,43.222222,11,2.777800,-1
7,1,0,5,19,0,2,3,0,0,204,1,0,0,0.535714,0,0,28,3,2.142900,1
8,2,0,7,19,26,3,4,6,0.857143,72,0,0,0.872727,0.333333,0,0,7.875000,2,1,-1
18,2,1,14,54,71,8,10,16,0.789916,460,1,2,0.150000,0.208333,0,0,24.166667,14,2.555600,1
2,1,0,2,2,1,2,1,2,2,2,0,0,0,0.750000,0,0,0,1,1,-1
6,1,0,9,16,0,8,2,1,0,89,1,0,0,0.375000,0,0,13.666667,4,1.833300,1
6,3,0,2,19,15,2,0,4,1.120000,184,0,0,0.850000,0.500000,1,1,28.833333,14,2.833300,-1
11,1,0,40,25,0,39,2,11,0,135,1,0,0,0.484848,0,0,11.181818,2,1.181800,-1
17,5,0,25,77,60,14,20,10,0.794643,429,0.857143,1,0.976084,0.235294,3,12,23.823529,9,1.882400,1
7,8,0,11,31,21,1,11,5,2,157,0,0,0.993056,0.314286,1,7,21.428571,6,2.285700,-1
2,2,0,10,9,1,1,9,2,2,106,0,0,0.947368,0.625000,2,2,52,1,0.500000,-1
10,2,0,6,30,1,4,4,9,0.694444,246,0.750000,1,0.829787,0.444444,1,1,23.200000,3,1.600000,-1
6,2,0,5,25,3,1,5,4,0.771429,215,0.857143,0,0.722222,0.722222,1,3,33.666667,7,3,-1
2,2,0,1,4,1,0,1,2,2,16,0,0,0.750000,0.750000,1,1,7,2,1,-1
2,2,0,6,9,1,1,5,1,2,24,0,0,0.954545,0.750000,0,0,11,1,0.500000,-1
10,5,0,7,42,43,4,5,9,0.666667,219,1,0,0.990654,0.375000,1,1,20.800000,4,1.600000,-1
3,2,0,4,9,1,1,3,0,0.500000,106,1,0,0.777778,0.444444,1,2,34,11,4,-1
7,1,0,7,20,0,1,6,4,0.736111,392,1,2,0,0.404762,0,0,53.285714,11,4.285700,1
5,7,0,6,47,2,1,5,4,0.611111,461,1,2,0.993939,0.400000,0,0,89.400000,6,2.600000,-1
5,2,0,5,29,2,1,4,4,0.562500,198,0.750000,0,0.935484,0.466667,1,7,37.800000,8,2.200000,-1
12,6,0,7,44,26,3,6,1,0.449198,650,1,3,0.983824,0.500000,1,3,51.750000,3,1.333300,1
6,1,0,1,6,15,1,0,6,2,6,0,0,0,0.750000,0,0,0,1,1,-1
239,4,0,66,478,13445,52,34,195,0.887106,9017,0.639344,10,0.731597,0.080053,3,19,36.472803,32,3.577400,1
2,2,0,9,6,1,3,6,1,1,54,0,0,0.947368,0.666667,1,2,24.500000,1,0.500000,-1
4,1,1,4,12,6,2,2,4,0.666667,37,1,1,0,0.500000,0,0,8,2,1,-1
15,7,0,14,71,77,8,11,3,0.849206,584,1,1,0.979104,0.355556,0,0,37.333333,9,1.533300,-1
12,7,0,7,59,52,1,7,10,0.709091,284,1,2,0.983508,0.277778,0,0,22.250000,3,1.333300,-1
3,1,0,9,19,3,0,9,1,1,54,0,0,0,0.333333,0,0,16.666667,3,1.333300,1
6,1,0,6,9,15,4,3,6,2,34,0,0,0,0.611111,0,0,4.666667,2,1,-1
19,5,0,20,83,105,8,17,4,0.822222,477,1,3,0.973174,0.336842,2,5,23.578947,10,1.421100,1
14,7,0,7,55,67,3,7,4,0.888889,356,0.888889,1,0.980568,0.285714,0,0,23.785714,3,1.071400,-1
13,2,0,1,20,30,1,1,9,0.805556,115,1,0,0.571429,0.269231,0,0,7.384615,2,1.076900,-1
40,7,0,28,162,542,8,26,9,0.831502,1807,0.892857,5,0.946609,0.186813,2,3,43.475000,15,2.175000,1
3,2,0,5,11,0,1,4,0,0,87,0,1,0.777778,0.444444,1,2,27.333333,7,3,-1
9,1,0,6,18,0,6,1,8,1.015625,368,0.104167,17,0,0.406250,0,0,34.555556,2,1,-1
3,2,0,11,13,3,1,10,1,1,102,0,0,0.900000,0.444444,1,1,32.666667,6,2.333300,-1
21,1,0,14,52,0,9,7,21,0.492857,1738,1,3,0,0.251701,0,0,81.428571,35,9.095200,-1
12,1,5,29,18,54,28,3,12,0.727273,49,1,0,0,0.312500,0,0,3,1,0.916700,-1
6,2,0,8,54,5,3,7,2,0.720000,377,1,0,0.924242,0.305556,0,0,61,13,3.833300,-1
1,1,0,12,1,0,12,0,0,2,617,0,0,0,0,0,0,496,0,0,-1
3,2,0,4,9,1,1,3,0,0.500000,71,1,0,0.777778,0.444444,1,2,22.333333,6,2.333300,-1
12,6,0,4,31,28,2,3,3,0.818182,269,1,0,0.983824,0.500000,2,4,20.666667,1,0.916700,-1
60,6,0,138,221,1420,125,37,45,0.949153,1722,0.515152,9,0.916193,0.082456,2,3,27.150000,20,2.800000,1
34,1,4,37,83,471,29,15,28,0.969697,679,0.333333,0,0,0.242424,0,0,18.617647,5,1.558800,1
8,3,0,1,14,16,1,1,8,0.714286,49,1,0,0.911392,1,0,0,4.875000,1,0.875000,-1
5,1,0,2,6,10,0,2,5,2,12,0,0,0,0.800000,0,0,1.400000,1,0.800000,1
3,2,0,4,5,3,1,3,0,2,20,0,0,0.777778,0.466667,1,2,5.666667,1,0.666700,-1
4,2,0,4,9,0,1,3,0,0.444444,80,1,0,0.700000,0.357143,1,2,18.250000,5,1.750000,-1
147,1,0,127,346,9847,99,51,118,0.929969,5007,0.714286,12,0,0.077948,0,0,32.727891,39,3.795900,1
12,7,0,10,72,32,2,9,3,0.872727,720,1,3,0.983508,0.291667,1,1,57.750000,8,1.500000,1
3,6,0,3,17,1,1,2,3,0.500000,263,1,0,0.997019,1,2,4,84,5,2,-1
1,4,0,17,2,0,17,0,1,2,5,0,0,1,1,0,0,4,0,0,-1
14,1,0,11,39,61,4,7,12,0.307692,314,1,1,0,0.320513,0,0,21.357143,8,2.500000,1
2,2,0,7,6,1,1,6,1,2,36,0,0,0.947368,0.625000,1,1,17,1,0.500000,-1
7,2,0,9,22,0,4,6,5,0.444444,123,1,0,0.538462,0.285714,1,1,16.142857,3,1.142900,-1
23,5,0,37,128,153,29,18,12,0.897306,1181,0.888889,3,0.967407,0.173913,1,7,49.173913,18,2.913000,1
4,2,0,4,16,4,1,4,2,0.833333,109,0,0,0.769231,0.400000,0,0,25.750000,3,1.750000,-1
13,1,0,19,30,26,15,6,13,0.733333,274,1,3,0,0.338462,0,0,19.692308,5,2.153800,-1
5,2,0,7,20,4,1,6,2,0.500000,153,0,0,0.818182,0.366667,0,0,29.400000,10,4,-1
6,6,0,12,36,3,7,5,4,0.700000,263,0.300000,0,0.994483,0.314286,2,2,41.166667,11,3.333300,1
11,1,0,12,56,23,3,9,7,0.650000,479,1,1,0,0.400000,0,0,42.181818,3,1.090900,1
6,1,0,4,6,15,4,1,6,2,6,0,0,0,1,0,0,0,1,1,-1
3,6,0,5,28,1,1,4,3,0.500000,435,1,9,0.997019,1,3,5,137.333333,2,1.333300,-1
5,1,0,3,12,0,2,1,3,0.468750,273,1,0,0,0.600000,0,0,52,10,3.800000,-1
13,1,0,76,55,38,76,1,7,0.892857,446,0.500000,0,0,0.178571,0,0,32.230769,7,2.384600,-1
3,1,0,3,4,3,1,2,2,1,13,0,1,0,0.625000,0,0,3,1,0.333300,-1
15,3,3,53,23,43,53,1,11,0.500000,154,0,1,0.566667,0.577778,1,2,9.133333,3,1.333300,-1
12,2,0,5,36,24,3,2,7,0.818182,253,0,0,0.592593,0.395833,1,2,19.833333,6,2.083300,-1
55,1,0,59,148,1039,45,21,45,0.778867,1684,0.117647,5,0,0.126362,0,0,29.309091,32,1.600000,1
16,3,0,9,65,38,3,7,13,0.666667,670,0.777778,0,0.729167,0.185185,2,5,40.312500,24,4.875000,1
11,6,0,9,53,25,3,8,1,0.716667,349,1,0,0.985272,0.500000,3,5,30.181818,6,1.909100,1
3,6,0,4,21,1,1,3,1,0.500000,159,1,1,0.997019,1,1,3,50,1,0.666700,-1
4,2,0,3,17,6,1,3,4,2,86,0,0,0.928571,0.600000,1,1,20.500000,2,1,-1
14,2,0,7,35,37,4,4,11,0.760684,429,0.888889,1,0.824324,0.224490,0,0,29,5,1.500000,-1
6,2,0,17,40,15,3,14,1,1.114286,286,0,0,0.782609,0.611111,0,0,45.500000,1,0.833300,-1
18,1,0,13,102,43,4,11,9,0.661765,785,0.875000,0,0,0.104575,0,0,42.166667,18,3.111100,-1
2,2,0,4,3,1,3,1,1,1,10,0,0,0.947368,0.750000,0,0,3.500000,1,0.500000,-1
16,2,0,15,77,78,1,15,8,0.875269,1296,1,5,0.464286,0.265625,1,3,78.062500,35,6,1
9,6,0,6,26,34,3,6,9,0.937500,91,1,2,0.987749,0.592593,3,3,8.888889,1,0.888900,1
4,1,0,4,4,6,4,1,4,2,4,0,0,0,0.916667,0,0,0,1,1,1
13,1,0,15,65,30,5,13,7,0.796875,1525,0.937500,4,0,0.215385,0,0,115.076923,42,8.846200,1
3,6,0,6,18,3,5,2,1,2,66,0,0,0.997382,0.444444,0,0,21,2,1,-1
14,1,2,18,23,59,17,1,9,0.807692,117,0,0,0,0.297619,0,0,7.071429,5,1.071400,1
3,1,1,10,9,1,9,1,3,1.347826,138,0,2,0,0.400000,0,0,37.333333,15,5.333300,-1
53,4,0,22,145,988,14,14,46,0.960918,1107,0.677419,5,0.925501,0.101415,3,25,19.301887,7,1.603800,1
50,1,0,5,66,3,1,4,6,0.751701,6280,0.166667,1,0,0.500000,0,0,124.120000,167,8.760000,-1
4,1,0,2,7,0,1,1,3,0,59,1,0,0,0.666667,0,0,13.250000,3,1.750000,-1
4,1,0,14,5,0,14,0,4,0.666667,28,1,0,0,0.500000,0,0,5.250000,1,0.750000,-1
7,1,0,7,10,0,7,1,2,0.625000,64,1,1,0,0.428571,0,0,7.571429,2,1.142900,-1
47,2,1,41,109,1019,19,25,26,0.946488,2549,0.461538,2,0.148936,0.230072,1,2,52.957447,11,1.766000,-1
1,2,0,3,2,0,1,2,1,2,5,0,0,1,1,0,0,4,0,0,-1
4,2,0,10,23,6,3,7,2,2,176,0,0,0.857143,0.583333,1,1,43,1,0.750000,-1
6,6,1,11,22,13,11,1,5,0.800000,75,1,0,0.996078,0.400000,3,12,11.333333,2,0.666700,-1
12,2,0,7,36,36,1,7,8,0.865613,505,1,4,0.541667,0.319444,1,3,39.166667,14,3.666700,-1
1,2,0,5,2,0,3,2,1,2,5,0,0,1,1,0,0,4,0,0,-1
27,1,0,3,40,25,3,0,21,0.529412,1277,0.705882,0,0,0.296296,0,0,45.666667,7,1.592600,-1
2,2,0,2,6,1,1,2,2,2,65,0,0,0.888889,0.625000,0,0,31.500000,7,3.500000,-1
11,7,0,11,64,29,2,10,4,0.814286,396,1,0,0.984985,0.363636,0,0,34.363636,4,1.363600,-1
118,1,0,7,180,6075,6,1,27,0.921126,5207,0.717391,1,0,0.138067,0,0,42.347458,9,1.567800,1
1,2,0,2,2,0,1,1,1,2,6,0,0,1,1,0,0,4,0,0,-1
9,1,0,2,17,2,1,1,6,0.678571,236,1,0,0,1,0,0,24.444444,5,2.888900,-1
9,1,0,6,20,0,4,2,9,0.500000,112,1,0,0,0.259259,0,0,11.222222,3,1.555600,-1
12,1,0,3,25,0,2,1,0,0.436364,218,1,0,0,0.395833,0,0,16.750000,3,1.333300,-1
26,1,0,10,39,311,7,3,23,0.873333,179,1,1,0,0.160000,0,0,5.653846,3,1.192300,-1
2,1,0,2,3,1,2,0,0,1,16,0,0,0,0.750000,0,0,6,0,0,-1
4,1,0,6,4,6,6,0,4,2,4,0,0,0,1,0,0,0,1,1,-1
14,1,0,20,27,0,19,1,10,0.653846,386,0.125000,1,0,0.342857,0,0,26,6,2.428600,-1
5,1,4,5,11,10,4,1,5,2,48,0,0,0,0.450000,0,0,8.600000,2,1.600000,-1
14,7,0,12,98,43,4,11,2,0.866397,1049,0.894737,1,0.980568,0.204082,0,0,72.571429,9,2.428600,-1
11,2,0,3,24,25,2,1,7,0.833333,177,0,0,0.640000,0.303030,2,3,14.818182,6,2,-1
5,2,1,8,11,6,2,6,4,0.750000,81,1,1,0.666667,0.288889,1,2,14,2,1,-1
2,1,0,4,2,1,3,2,2,2,2,0,0,0,1,0,0,0,1,1,-1
