@relation ivy-2.0.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {-1,1}

@data
4,1,0,5,22,6,3,2,3,2,100,0,0,0,0.416667,0,0,24,3,2,-1
23,5,1,10,74,189,1,9,14,0.806818,608,1,0,0.889474,0.233766,3,4,25.086957,8,1.565200,-1
7,1,0,7,34,15,1,6,2,0.750000,288,0.500000,1,0,0.333333,0,0,39.857143,5,1.571400,-1
10,4,0,10,38,3,1,0,9,0.666667,207,1,0,0.881579,0.650000,1,1,19.300000,2,1,-1
3,2,0,4,19,0,1,3,3,0,57,1,0,0.750000,0.500000,0,0,17.666667,2,1,-1
1,1,0,5,1,0,3,2,1,2,1,0,0,0,1,0,0,0,1,1,-1
11,1,0,4,25,23,3,1,7,0.766667,215,1,0,0,0.242424,0,0,18,3,1.090900,-1
4,1,0,2,6,6,1,1,3,1,23,0,1,0,0.666667,0,0,4.500000,2,0.750000,-1
11,1,0,2,15,17,2,0,11,0.725000,95,1,0,0,0.727273,0,0,7.272727,2,0.909100,-1
18,1,0,23,83,151,18,5,15,0.970588,638,1,0,0,0.194118,0,0,34.333333,5,1.555600,-1
11,5,2,7,27,49,2,0,10,0.800000,85,1,0,0.944134,0.345455,2,2,6.636364,2,1,-1
4,2,0,4,13,0,1,0,3,0.333333,41,1,1,0.812500,0.583333,1,2,9,1,0.750000,-1
12,2,0,7,29,30,2,5,11,0.757576,171,1,1,0.388889,0.250000,1,1,12.750000,2,1.166700,-1
5,5,0,6,15,10,3,3,5,2,48,0,0,1,0.500000,0,0,8.600000,0,0,-1
35,4,0,16,103,429,0,0,28,0.894118,824,0.933333,1,0.663366,0.314286,2,4,22.114286,2,1,1
11,1,0,6,19,1,5,2,11,0.450000,67,1,1,0,0.318182,0,0,4.909091,1,0.909100,-1
74,1,0,40,190,2181,13,30,72,0.882991,1443,1,8,0,0.067568,0,0,18.175676,6,1.418900,1
9,2,0,19,39,34,8,13,5,0.937500,178,0.500000,1,0.300000,0.328125,1,1,18.555556,1,0.777800,1
13,1,7,28,37,44,23,6,6,0.555556,172,1,1,0,0.201923,1,1,12,5,1.230800,-1
5,1,1,3,13,4,1,2,5,0.500000,48,1,0,0,0.400000,0,0,8.400000,3,1.200000,-1
4,1,0,11,17,4,8,3,2,0.666667,77,0,1,0,0.333333,0,0,18,4,1.750000,-1
9,1,0,83,9,36,80,3,9,2,9,0,0,0,1,0,0,0,1,1,-1
7,6,0,3,22,21,0,0,7,2,68,0,0,0.967568,0.857143,1,1,8.714286,3,1.142900,-1
15,2,0,9,40,77,3,7,12,0.666667,286,1,1,0.606061,0.500000,1,1,17.866667,2,0.933300,-1
27,1,0,33,78,219,23,13,24,0.737179,394,1,5,0,0.150997,0,0,13.370370,4,1.259300,-1
31,1,0,97,31,465,84,16,31,1.033333,33,0,0,0,0.132258,0,0,0,1,1,-1
9,2,0,17,28,22,9,8,7,0.500000,127,1,1,0.300000,0.250000,1,1,12.888889,2,1,-1
37,4,0,19,107,526,0,0,30,0.909259,659,0.933333,0,0.650485,0.329730,2,3,16.405405,3,1.027000,-1
2,1,0,3,16,1,2,1,1,2,98,0,0,0,0.500000,0,0,48,7,3.500000,-1
15,4,0,13,64,57,0,0,14,0.821429,411,1,0,0.827160,0.306667,1,2,26,5,1.200000,1
2,1,0,30,65,0,1,29,2,0,412,1,3,0,0.571429,0,0,203.500000,1,0.500000,-1
8,1,5,6,22,6,5,1,6,0.761905,145,1,0,0,0.541667,0,0,16.375000,2,1.125000,-1
5,2,2,6,14,2,2,4,4,0.750000,60,1,2,0.750000,0.333333,0,0,10.200000,1,0.800000,-1
7,1,0,10,63,21,2,8,5,2,1034,0,0,0,0.285714,0,0,146.714286,10,4.857100,-1
14,1,1,2,19,79,1,1,7,0.807692,97,1,0,0,0.285714,0,0,5.500000,2,1,-1
20,1,2,4,30,142,2,2,18,0.763158,183,1,0,0,0.500000,0,0,7.950000,2,1.050000,-1
5,1,0,13,30,4,3,10,3,0.250000,149,1,1,0,0.500000,0,0,28.600000,5,1.800000,-1
13,2,0,14,35,52,10,4,13,0.333333,204,1,2,0.388889,0.282051,1,1,14.538462,5,1.230800,-1
12,1,0,7,63,64,2,0,5,1.049587,939,1,0,0,0.345238,0,0,76.333333,1,0.916700,-1
2,4,0,2,18,0,1,1,2,0,99,1,0,0.983871,0.666667,1,1,47.500000,3,1.500000,-1
5,1,0,7,26,4,1,6,3,0,158,1,0,0,0.525000,0,0,30.200000,4,1.800000,-1
6,1,0,27,6,15,26,2,6,2,6,0,0,0,0.541667,0,0,0,1,1,-1
4,1,0,4,5,6,3,1,2,1,17,0,1,0,0.666667,0,0,3,1,0.500000,-1
11,2,0,7,12,25,5,2,11,0.800000,74,1,1,0.285714,0.290909,0,0,5.272727,1,0.909100,-1
12,1,0,19,12,66,13,6,12,2,12,0,0,0,0.316667,0,0,0,1,1,-1
1,1,0,7,1,0,6,1,1,2,1,0,0,0,1,0,0,0,1,1,-1
6,1,0,21,6,15,17,5,6,2,6,0,0,0,0.370370,0,0,0,1,1,-1
2,1,0,15,34,0,1,14,2,0,326,1,2,0,0.600000,0,0,161,13,6.500000,-1
5,2,0,10,44,0,3,7,5,0.500000,305,1,2,0.833333,0.600000,1,1,59.400000,1,0.800000,1
4,4,2,5,8,6,5,0,4,2,20,0,0,1,0.666667,0,0,4,0,0,-1
5,1,0,6,17,10,4,2,4,2,112,0,0,0,0.250000,0,0,21.400000,3,1.600000,-1
8,1,0,3,35,20,2,1,4,0.809524,303,1,0,0,0.357143,0,0,36.500000,4,1.250000,1
8,1,0,2,13,14,2,0,6,0.571429,69,1,0,0,0.625000,0,0,7.375000,3,1.250000,-1
5,1,0,2,22,8,1,1,5,0.500000,97,1,0,0,0.400000,0,0,18.200000,1,0.600000,-1
5,1,0,3,6,6,0,3,5,0.750000,24,1,2,0,0.466667,0,0,3.400000,1,0.800000,-1
3,1,0,2,6,1,2,0,1,0.500000,21,1,0,0,0.500000,0,0,5.666667,2,0.666700,-1
4,1,0,12,5,0,12,1,4,0.500000,24,1,1,0,0.500000,0,0,4.500000,1,0.750000,-1
4,2,0,3,11,6,1,2,4,2,48,0,0,0.727273,0.666667,1,1,11,2,1,-1
3,6,0,3,7,3,0,0,3,2,17,0,0,0.988950,1,1,1,4.666667,1,0.666700,-1
8,1,0,8,8,28,3,5,8,2,8,0,0,0,0.458333,0,0,0,1,1,-1
6,1,0,1,7,3,1,0,6,0.600000,34,1,0,0,0.555556,0,0,4.333333,1,0.666700,-1
3,1,0,8,20,1,2,6,3,0,155,1,0,0,0.444444,0,0,50,4,2,-1
3,3,0,5,9,0,1,4,3,0.833333,40,0.666667,2,0.875000,0.500000,0,0,11.333333,1,0.666700,-1
1,3,0,4,2,0,1,3,1,2,9,0,0,1,1,0,0,7,0,0,-1
47,4,0,15,108,865,1,0,45,0.920652,896,1,0,0.592920,0.221884,2,4,17.638298,3,1.042600,-1
22,2,0,16,59,0,1,15,22,0.714286,354,0.600000,2,0.752941,0.162879,1,3,14.863636,3,1.409100,-1
10,1,0,17,62,11,1,0,5,0.766667,491,1,1,0,0.233333,0,0,47.100000,2,1.100000,1
2,2,0,3,3,0,1,2,2,1,14,0.500000,1,0.923077,0.750000,0,0,5,1,0.500000,-1
5,1,4,7,8,8,4,3,4,0.500000,34,1,0,0,0.800000,0,0,5.600000,3,1.200000,-1
2,5,3,6,5,1,3,3,2,2,12,0,0,0.994118,1,1,1,5,1,0.500000,-1
11,1,0,4,21,13,1,0,11,0.600000,68,0.500000,0,0,0.340909,0,0,5,1,0.818200,-1
59,1,0,31,148,0,0,31,57,0.017241,895,1,1,0,0.190862,0,0,14.152542,4,1.033900,-1
25,4,0,10,49,224,0,0,25,0.905303,304,1,0,0.736264,0.370000,2,3,10.720000,1,0.960000,-1
6,2,0,6,36,0,1,0,5,0.300000,165,1,0,0.583333,0.500000,1,2,26.166667,3,1.833300,-1
5,1,0,1,22,10,1,0,3,1.250000,103,1,0,0,0.200000,0,0,19.200000,2,1,-1
3,1,0,13,22,0,4,11,2,1,201,1,3,0,0.583333,0,0,64,6,3.333300,-1
57,2,1,56,242,1504,8,54,27,0.950255,2550,0.785714,3,0.537815,0.113946,2,5,43.491228,9,2.035100,1
5,1,0,2,6,2,1,1,5,0.750000,36,1,0,0,0.600000,0,0,5.400000,1,0.800000,1
13,1,0,14,49,24,11,4,12,0.650000,298,1,0,0,0.346154,0,0,21.538462,4,1.846200,-1
2,3,0,3,5,0,1,2,1,0,15,1,0,1,1,0,0,6,0,0,-1
29,2,0,21,104,236,1,20,22,0.767857,733,1,0,0.695652,0.143236,1,4,24.137931,5,1.758600,1
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,-1
5,5,0,4,18,8,1,0,4,0.875000,76,1,0,0.982558,0.625000,2,2,13.800000,3,1,-1
10,1,6,12,14,37,6,6,10,0.777778,51,1,1,0,0.300000,0,0,3.900000,1,0.800000,-1
21,2,2,9,58,156,3,0,15,0.855556,373,1,0,0.512821,0.320000,0,0,16.333333,6,1.381000,-1
3,1,0,8,4,0,8,0,3,0.500000,20,1,0,0,0.666667,0,0,5,1,0.666700,-1
25,1,0,8,90,112,4,7,21,0.907738,1160,0.357143,1,0,0.239583,0,0,44.840000,29,2.960000,-1
2,3,0,6,7,1,2,4,2,2,18,0,0,0.937500,0.625000,0,0,8,1,0.500000,-1
23,2,0,7,33,213,4,3,15,0.966403,284,0.478261,2,0.375000,0.239130,0,0,10.347826,5,1.434800,-1
21,1,5,12,46,132,7,5,10,0.587500,281,0.750000,1,0,0.173160,0,0,12.190476,4,1.381000,-1
22,4,5,30,104,63,5,25,11,0.571429,707,1,1,0.875740,0.184659,4,12,31.045455,9,1.772700,-1
21,3,0,12,77,160,2,0,15,0.912500,797,1,0,0.661017,0.227513,2,3,36.571429,3,1.095200,-1
9,2,0,7,30,0,1,7,9,0,228,1,0,0.500000,0.333333,1,1,24.222222,3,2.111100,-1
12,2,0,6,31,20,3,5,9,1.012539,360,1,1,0.500000,0.393939,1,1,26.583333,6,2.083300,-1
3,1,0,16,3,3,15,1,3,2,3,0,0,0,1,0,0,0,1,1,-1
38,4,4,21,104,613,4,0,29,0.897683,839,1,1,0.644231,0.225564,1,1,20.710526,18,1.815800,1
1,1,0,34,1,0,34,0,1,2,1,0,0,0,1,0,0,0,1,1,-1
2,3,0,4,5,0,1,3,2,1,21,0.500000,1,0.933333,0.666667,0,0,8.500000,1,0.500000,-1
11,1,0,23,16,31,21,4,8,0.800000,77,0.833333,3,0,0.260000,0,0,5.454545,1,0.818200,-1
3,2,0,3,5,3,0,0,1,1,18,0,1,0.800000,0.750000,1,1,4.666667,1,0.333300,-1
2,1,0,4,2,1,2,2,2,2,2,0,0,0,0.750000,0,0,0,1,1,-1
25,1,0,6,26,276,5,1,25,0.958333,136,1,1,0,0.246667,0,0,3.960000,1,0.960000,-1
6,1,0,23,6,15,22,1,6,2,6,0,0,0,0.555556,0,0,0,1,1,-1
8,2,0,5,25,6,0,5,6,0.628571,145,1,0,0.600000,0.371429,0,0,16.500000,6,1.375000,-1
11,1,0,43,11,55,35,8,11,2,11,0,0,0,0.409091,0,0,0,1,1,1
1,3,0,3,2,0,3,0,1,2,5,0,0,1,1,0,0,4,0,0,-1
3,1,0,2,4,1,2,0,3,0.500000,14,1,0,0,0.666667,0,0,3.333333,1,0.666700,-1
10,1,0,2,12,25,1,0,10,0.805556,53,1,0,0,0.700000,0,0,3.900000,1,0.900000,-1
12,1,0,35,18,30,32,4,12,0.727273,99,1,4,0,0.277778,1,1,6.833333,2,0.916700,-1
9,1,0,4,11,28,3,1,9,0.875000,60,1,2,0,0.481481,0,0,5.222222,2,1.111100,-1
2,1,0,3,2,1,3,0,2,2,2,0,0,0,0.750000,0,0,0,1,1,-1
11,1,0,14,24,17,10,4,10,0.540000,107,1,0,0,0.393939,0,0,8.272727,2,1.181800,1
13,3,0,16,26,46,14,3,12,0.736111,243,1,1,0.421053,0.196581,1,1,17.230769,6,1.615400,-1
30,1,0,27,78,267,16,12,30,0.873563,543,1,1,0,0.123077,0,0,16.800000,5,1.466700,-1
2,2,0,4,4,1,1,3,1,2,8,0,0,0.666667,0.750000,1,1,3,1,0.500000,-1
14,1,0,10,39,0,2,8,13,0.661538,225,1,2,0,0.224490,0,0,14.714286,4,1.714300,-1
13,1,0,28,104,76,2,26,8,0.916667,691,1,1,0,0.227273,0,0,52.076923,8,1.615400,-1
12,1,0,9,31,54,1,8,10,0.840909,170,1,0,0,0.500000,0,0,12.833333,3,1.416700,-1
1,1,0,7,1,0,6,1,1,2,1,0,0,0,1,0,0,0,1,1,-1
23,1,0,57,23,253,46,16,23,2,23,0,0,0,0.127717,0,0,0,1,1,-1
15,2,0,12,16,67,9,3,15,0.867347,104,1,1,0.125000,0.293333,0,0,5.466667,1,0.933300,-1
9,1,2,5,36,36,2,3,9,2,146,0,0,0,0.444444,1,1,15.222222,9,1.888900,-1
21,2,0,21,38,170,17,4,21,0.662500,224,1,1,0.333333,0.253968,1,9,9.476190,1,0.761900,-1
3,1,0,6,18,3,2,4,2,2,67,0,0,0,0.444444,1,1,21.333333,7,3,-1
157,1,0,111,312,11794,51,75,142,0.967014,2701,0.937500,12,0,0.062279,0,0,15.898089,6,1.515900,-1
14,1,0,57,32,45,57,0,13,0.725275,277,0.714286,0,0,0.307692,1,1,18.285714,7,1.714300,-1
5,1,0,11,14,4,8,3,3,0.500000,72,1,1,0,0.250000,0,0,13.200000,1,0.600000,-1
6,1,0,11,6,15,10,2,6,2,6,0,0,0,1,0,0,0,1,1,-1
3,1,0,2,5,0,1,1,3,0,22,1,1,0,0.555556,0,0,6,2,1,-1
25,1,0,62,25,300,55,8,25,2,25,0,0,0,0.296000,0,0,0,1,1,-1
8,1,0,11,17,0,9,3,8,0.428571,54,1,1,0,0.416667,0,0,5.500000,1,0.875000,-1
6,1,0,9,9,3,6,3,5,0.700000,52,0.500000,3,0,0.466667,0,0,7,1,0.666700,-1
11,1,0,6,12,25,4,2,11,0.800000,78,1,1,0,0.363636,0,0,5.636364,2,1,-1
32,3,17,33,84,470,17,0,8,0.922581,670,0.600000,0,0.552239,0.250000,0,0,19.781250,5,1.718800,-1
17,1,0,6,29,90,2,5,17,0.812500,167,1,0,0,0.382353,0,0,8.470588,1,0.882400,-1
3,1,2,7,12,3,2,5,1,2,53,0,0,0,0.500000,0,0,16.666667,2,1,-1
7,1,0,54,7,21,54,0,7,2,7,0,0,0,0.571429,0,0,0,1,1,-1
9,2,1,13,38,12,2,12,8,0.500000,197,1,1,0.500000,0.377778,0,0,20.666667,5,1.666700,-1
28,6,0,17,70,300,1,17,21,0.728395,488,0.666667,0,0.862944,0.129121,4,9,16.214286,8,1.821400,-1
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,-1
6,2,0,3,9,9,2,1,6,0.400000,40,1,0,0.791667,0.666667,1,8,5.500000,2,1,-1
2,1,0,4,2,1,4,0,2,2,2,0,0,0,0.666667,0,0,0,1,1,-1
4,1,0,16,79,0,1,15,3,0,435,1,1,0,0.500000,0,0,107.500000,1,0.750000,-1
4,1,0,15,10,0,15,0,2,0.500000,68,0.250000,3,0,0.666667,0,0,15,4,1.250000,-1
8,1,0,27,8,28,14,14,8,2,8,0,0,0,0.267857,0,0,0,1,1,1
5,1,0,5,56,0,1,4,5,0.750000,334,1,0,0,0.342857,0,0,65,11,3,-1
14,5,0,20,105,73,0,0,7,0.807692,623,1,0,0.888889,0.207792,3,6,43.357143,7,1.571400,-1
6,1,0,3,14,7,2,2,6,0.500000,63,1,1,0,0.400000,0,0,9.166667,2,1,-1
10,2,0,9,38,15,0,0,8,0.694444,197,1,0,0.500000,0.400000,0,0,18.300000,7,1.600000,-1
1,3,0,3,2,0,1,2,1,2,8,0,0,1,1,0,0,6,0,0,-1
4,1,0,2,6,0,1,1,4,0.333333,35,1,2,0,0.500000,0,0,7.250000,3,1.250000,-1
20,1,0,106,45,182,103,5,17,1.015038,124,0.285714,1,0,0.144737,0,0,4.850000,2,0.950000,-1
19,1,0,8,19,171,8,0,19,2,19,0,0,0,0.421053,0,0,0,1,1,-1
2,1,0,9,2,1,7,3,2,2,4,0,0,0,0.625000,0,0,0,1,1,-1
8,2,0,9,61,28,2,7,6,1.142857,544,1,0,0.611111,0.375000,1,3,66.875000,4,1.625000,1
13,6,0,25,69,78,1,24,12,2,420,0,0,0.945274,0.174825,4,7,31.307692,4,1.230800,-1
3,2,0,5,5,3,2,3,1,1,18,0,1,0.800000,0.750000,1,1,4.666667,1,0.333300,-1
2,2,0,1,4,1,0,1,2,2,10,0,0,0.666667,0.666667,1,1,4,1,0.500000,-1
4,1,0,7,17,0,5,2,2,0.666667,58,0.500000,1,0,0.833333,0,0,13,2,0.750000,-1
9,1,0,3,11,26,2,1,9,0.850000,60,1,0,0,0.361111,0,0,5.111111,1,0.888900,-1
3,1,0,11,3,3,8,3,3,2,3,0,0,0,1,0,0,0,1,1,-1
5,1,0,8,5,10,8,0,5,2,5,0,0,0,0.700000,0,0,0,1,1,-1
3,2,1,4,5,3,3,1,3,2,18,0,0,0.875000,0.555556,1,1,5,1,0.333300,-1
3,1,0,3,3,3,2,1,3,2,3,0,0,0,0.666667,0,0,0,1,1,-1
28,1,0,11,72,118,5,10,18,0.994026,719,0.967742,0,0,0.220238,0,0,23.571429,6,2.714300,1
14,1,0,10,34,65,1,0,13,0.355769,207,1,0,0,0.404762,0,0,13.214286,3,1.142900,-1
5,1,0,9,20,2,3,6,5,0.625000,89,1,1,0,0.533333,0,0,16.400000,2,1.200000,-1
4,1,0,6,4,6,6,0,4,2,4,0,0,0,1,0,0,0,1,1,1
1,3,0,4,2,0,1,3,1,2,11,0.500000,0,1,1,0,0,8,0,0,-1
9,1,1,5,29,0,3,3,6,0.562500,157,1,0,0,0.416667,0,0,16.222222,3,1.444400,-1
1,1,0,8,1,0,6,2,1,2,1,0,0,0,1,0,0,0,1,1,-1
12,1,0,10,64,0,1,10,7,0.545455,444,1,1,0,0.243056,0,0,35.750000,6,2.666700,1
4,1,0,6,38,6,2,4,2,1,242,0,0,0,0.375000,0,0,59.250000,9,4.500000,-1
2,1,0,34,2,1,33,1,2,2,7,0,0,0,0.750000,0,0,0,1,1,-1
17,1,0,6,39,110,2,4,17,0.093750,165,1,1,0,0.344538,0,0,8.588235,2,1.058800,-1
3,1,0,5,3,3,3,2,3,2,3,0,0,0,1,0,0,0,1,1,-1
16,4,0,8,27,68,0,0,16,0.847619,175,1,0,0.817073,0.718750,0,0,9.500000,1,0.937500,1
19,1,0,6,64,75,1,6,18,0.805556,636,1,1,0,0.385965,0,0,32.157895,6,2.368400,-1
6,1,0,6,13,0,3,3,6,0.400000,55,1,1,0,0.458333,0,0,7.833333,2,1,-1
6,4,0,8,23,0,0,0,6,0.400000,143,1,0,0.930556,0.666667,1,1,22.500000,1,0.833300,-1
4,3,0,7,10,4,2,5,1,0.666667,27,1,1,0.714286,0.500000,1,1,5.500000,1,0.500000,-1
2,3,0,4,4,0,1,3,2,1.600000,30,0.400000,0,0.941176,0.600000,0,0,11.500000,1,0.500000,-1
30,1,0,37,68,345,30,9,27,0.773399,513,1,3,0,0.182266,0,0,15.866667,5,1.600000,-1
10,1,0,20,61,45,6,16,9,2,192,0,0,0,0.166667,0,0,18.200000,3,1.700000,-1
8,6,0,6,41,22,0,0,5,0.714286,204,1,0,0.938053,0.406250,2,2,24.375000,5,1.750000,-1
2,2,0,6,13,1,1,6,2,2,46,0,0,0.857143,0.666667,0,0,22,5,2.500000,-1
4,1,0,2,6,6,1,1,3,1,23,0,1,0,0.666667,0,0,4.500000,2,0.750000,-1
2,1,0,24,2,1,24,0,2,2,2,0,0,0,0.750000,0,0,0,1,1,-1
10,5,0,9,44,13,0,0,9,0.722222,176,1,0,0.920354,0.466667,2,4,16.200000,1,0.900000,-1
1,5,0,3,2,0,2,1,1,2,5,0,0,1,1,0,0,4,0,0,-1
7,1,0,3,12,0,3,1,7,0.666667,77,1,4,0,0.428571,0,0,9.285714,1,0.857100,-1
6,1,0,6,40,13,2,4,5,0.200000,227,1,0,0,0.666667,0,0,36.666667,1,0.666700,-1
1,1,0,5,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,-1
4,1,0,6,14,0,3,3,4,0.333333,74,1,0,0,0.500000,0,0,17,7,2.250000,-1
3,3,0,7,18,0,1,6,3,0.833333,87,0.666667,2,0.875000,0.466667,0,0,27,1,0.666700,-1
30,3,1,26,132,369,1,25,13,0.724138,1096,1,0,0.804054,0.171111,1,2,35.433333,18,2.633300,-1
3,3,0,7,12,0,1,6,3,0.833333,64,0.666667,1,0.875000,0.444444,0,0,19.333333,1,0.666700,-1
6,1,0,11,13,0,10,2,6,0.400000,44,1,1,0,0.444444,0,0,6,1,0.833300,-1
1,1,0,6,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,-1
13,3,0,8,32,4,0,0,13,0.666667,134,1,0,0.755102,0.192308,2,2,9.076923,1,0.923100,-1
13,1,0,13,14,78,11,2,12,1.055556,24,0,1,0,0.533333,0,0,0.615385,1,0.923100,-1
3,1,0,10,3,3,7,3,3,2,3,0,0,0,1,0,0,0,1,1,-1
1,2,0,14,2,0,13,1,1,2,4,0,0,1,1,0,0,3,0,0,-1
2,1,0,6,2,1,4,2,2,2,2,0,0,0,1,0,0,0,1,1,-1
48,1,0,16,109,118,3,15,39,0.795745,719,1,5,0,0.147569,0,0,13.770833,6,1.625000,1
2,1,0,16,2,1,14,2,2,2,2,0,0,0,0.750000,0,0,0,1,1,-1
7,4,0,7,27,0,0,0,7,0.611111,147,1,0,0.917808,0.357143,0,0,19.571429,1,0.857100,-1
13,1,0,22,30,0,15,8,11,0.416667,267,0.333333,0,0,0.285714,0,0,19.307692,7,2.307700,-1
4,2,2,7,17,4,2,5,1,0.666667,60,1,0,0.400000,0.666667,0,0,13.750000,2,1.250000,-1
10,1,0,11,39,39,11,0,7,0.666667,1308,1,0,0,0.174603,0,0,129.700000,7,2.800000,-1
7,1,0,3,8,15,3,0,6,0.500000,51,1,0,0,0.535714,0,0,5.857143,1,0.571400,-1
