@relation PC3

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {FALSE,TRUE}

@data
29,4,1,29,0,27,25,75,86,161,917.77,0.03,34.72,31867.04,0.31,1770.39,21,14,2,34,17,11,0.38,2.43,3,0.27,0.31,3,39,5,0.4,26.43,0.45,10,30,35,3.33,FALSE
31,60,34,23,8,40,13,85,95,180,1031.03,0.07,13.81,14241.04,0.34,791.17,3,2,8,4,2,2,0.06,2,2,1,0.02,0,14,1,0,74.64,0.5,1,14,126,64.62,TRUE
19,4,0,19,0,23,10,42,47,89,448.95,0.11,9.13,4099.12,0.15,227.73,3,2,4,4,2,2,0.11,2,2,1,0.08,1,11,1,0,49.17,0.5,1,11,24,0,FALSE
22,2,0,22,0,10,15,34,49,83,385.44,0.04,25.5,9828.72,0.13,546.04,15,14,0,28,14,8,0.36,2,1,0.13,0.32,1,29,8,1,15.12,1,7,23,25,0,FALSE
60,24,19,52,8,58,16,101,124,225,1397.13,0.07,13.93,19463.42,0.47,1081.3,21,20,7,40,20,11,0.18,2,8,0.73,0.11,0,45,1,0,100.29,0.09,10,36,104,34.18,FALSE
56,36,24,44,12,58,21,109,128,237,1494,0.05,19.73,29480.66,0.5,1637.81,25,20,8,44,22,13,0.23,2.2,8,0.62,0.11,3,50,6,0.42,75.71,0.46,12,39,117,45,TRUE
21,4,0,21,0,20,18,60,65,125,655.99,0.04,27,17711.76,0.22,983.99,21,20,2,40,20,11,0.52,2,6,0.55,0.42,2,43,1,0,24.3,0.09,10,34,26,0,FALSE
8,1,0,8,0,6,8,8,11,19,72.34,0.19,5.33,385.81,0.02,21.43,3,2,1,4,2,2,0.25,2,1,0.5,0.2,2,7,1,0,13.56,0.5,1,7,10,0,FALSE
27,3,0,22,5,19,15,34,61,95,483.31,0.07,13.42,6486.52,0.16,360.36,13,12,4,24,12,7,0.26,2,7,1,0.23,3,27,6,0.83,36.01,0.86,6,22,31,18.52,FALSE
5,1,0,4,1,6,8,7,10,17,64.73,0.21,4.67,302.05,0.02,16.78,3,2,2,4,2,2,0.4,2,2,1,0.29,3,5,1,0,13.87,0.5,1,5,7,20,FALSE
10,1,0,10,0,8,8,12,18,30,120,0.17,6,720,0.04,40,5,4,0,8,4,3,0.3,2,1,0.33,0.25,0,9,1,0,20,0.33,2,8,12,0,FALSE
36,13,12,36,0,25,13,76,109,185,970.87,0.05,19.76,19184.32,0.32,1065.8,5,4,1,8,4,3,0.08,2,1,0.33,0.05,0,19,1,0,49.13,0.33,2,18,62,25,FALSE
75,7,16,71,4,55,23,89,121,210,1319.93,0.05,18.61,24562.78,0.44,1364.6,25,18,10,42,23,13,0.17,2.33,10,0.77,0.13,1,47,5,0.33,70.93,0.38,12,36,99,21.98,TRUE
13,4,4,12,1,25,13,50,50,100,524.79,0.08,13,6822.31,0.17,379.02,7,6,4,12,6,4,0.31,2,3,0.75,0.18,1,16,1,0,40.37,0.25,3,14,22,29.41,FALSE
10,1,0,10,0,11,11,18,24,42,187.3,0.11,9,1685.67,0.06,93.65,3,2,4,4,2,2,0.2,2,2,1,0.17,2,10,1,0,20.81,0.5,1,10,12,0,FALSE
142,8,0,139,3,143,37,530,600,1130,8465.79,0.01,68.57,580469.3,2.82,32248.29,143,128,14,264,132,73,0.51,2.06,60,0.82,0.48,2,357,15,0.19,123.47,0.21,68,286,151,2.11,FALSE
15,1,0,15,0,17,17,51,103,154,783.47,0.04,25.5,19978.47,0.26,1109.91,5,2,1,6,3,3,0.2,3,1,0.33,0.18,1,9,3,1,30.72,1,2,8,17,0,FALSE
51,18,24,49,2,41,16,106,151,257,1499.05,0.05,20.68,31004.8,0.5,1722.49,9,8,8,16,8,5,0.1,2,5,1,0.06,2,40,1,0,72.48,0.2,4,37,80,34.67,TRUE
14,1,0,14,0,10,14,19,27,46,210.91,0.08,13.3,2805.08,0.07,155.84,7,6,0,12,6,4,0.29,2,1,0.25,0.25,1,14,3,0.67,15.86,0.75,3,12,16,0,FALSE
9,2,0,9,0,7,14,19,26,45,197.65,0.05,19,3755.43,0.07,208.64,7,6,1,12,6,4,0.44,2,2,0.5,0.33,1,14,3,0.67,10.4,0.75,3,12,12,0,FALSE
11,1,0,10,1,9,14,15,21,36,162.85,0.09,11.67,1899.9,0.05,105.55,5,4,0,8,4,3,0.27,2,1,0.33,0.23,2,10,1,0,13.96,0.33,2,9,13,9.09,FALSE
14,2,0,14,0,15,17,38,56,94,470,0.05,21.53,10120.67,0.16,562.26,7,6,0,12,6,4,0.29,2,1,0.25,0.24,3,16,1,0,21.83,0.25,3,14,17,0,FALSE
91,5,1,90,1,108,19,243,305,548,3829.8,0.05,21.38,81861.96,1.28,4547.89,67,64,16,130,65,34,0.37,2.02,30,0.88,0.35,2,153,17,0.48,179.17,0.5,33,121,98,2.17,FALSE
7,2,0,7,0,5,14,14,22,36,152.93,0.05,19.6,2997.34,0.05,166.52,7,6,1,12,6,4,0.57,2,2,0.5,0.4,2,14,4,1,7.8,1,3,12,10,0,FALSE
43,22,0,33,10,46,17,75,91,166,992.23,0.07,13.86,13750.99,0.33,763.94,13,10,7,22,11,7,0.16,2.2,6,0.86,0.11,1,28,4,0.5,71.6,0.57,6,23,66,23.26,TRUE
22,33,19,18,4,25,13,38,43,81,425.08,0.1,9.88,4199.81,0.14,233.32,7,6,2,12,6,4,0.18,2,4,1,0.05,0,19,1,0,43.02,0.25,3,17,75,56.1,FALSE
7,4,0,6,1,8,6,14,16,30,114.22,0.19,5.25,599.66,0.04,33.31,3,2,0,4,2,2,0.29,2,1,0.5,0.17,1,5,1,0,21.76,0.5,1,5,12,14.29,FALSE
9,1,0,9,0,9,13,17,32,49,218.51,0.08,12.28,2682.84,0.07,149.05,7,2,0,8,4,4,0.44,4,1,0.25,0.36,1,10,4,1,17.8,1,3,8,11,0,FALSE
45,3,0,45,0,54,31,135,156,291,1865.13,0.03,38.75,72273.89,0.62,4015.22,19,16,12,34,17,10,0.22,2.13,8,0.8,0.2,2,62,3,0.22,48.13,0.3,9,54,49,0,FALSE
41,13,0,41,0,66,20,144,156,300,1927.88,0.05,21.82,42062.82,0.64,2336.82,37,36,8,72,36,19,0.46,2,16,0.84,0.35,0,85,5,0.22,88.36,0.26,18,68,55,0,FALSE
37,23,16,31,6,50,14,88,98,186,1116,0.08,12.32,13749.12,0.37,763.84,9,8,4,16,8,5,0.14,2,4,0.8,0.06,1,25,1,0,90.58,0.2,4,22,77,41.51,TRUE
25,5,2,21,4,21,13,39,45,84,427.35,0.08,12.07,5158.69,0.14,286.59,11,8,0,18,9,6,0.24,2.25,1,0.17,0.18,3,20,3,0.4,35.4,0.5,5,16,33,22.22,FALSE
65,5,0,65,0,68,33,204,322,526,3502.22,0.02,49.5,173359.85,1.17,9631.1,69,62,8,130,65,35,0.54,2.1,11,0.31,0.44,3,141,19,0.53,70.75,0.54,34,108,80,0,FALSE
6,0,0,6,0,9,9,13,17,30,125.1,0.15,6.5,813.14,0.04,45.17,5,2,3,6,3,3,0.5,3,2,0.67,0.43,0,9,3,1,19.25,1,2,8,7,0,FALSE
6,2,0,6,0,3,10,8,18,26,96.21,0.08,13.33,1282.82,0.03,71.27,7,6,0,12,6,4,0.67,2,1,0.25,0.44,2,13,4,1,7.22,1,3,11,9,0,FALSE
9,10,0,9,0,19,12,34,39,73,361.66,0.09,10.74,3883.05,0.12,215.72,11,6,1,16,8,6,0.67,2.67,4,0.67,0.3,0,17,3,0.4,33.68,0.5,5,13,20,0,TRUE
33,9,8,29,4,42,19,66,81,147,871.82,0.07,14.93,13015,0.29,723.06,17,14,6,30,15,9,0.27,2.14,4,0.44,0.18,2,39,7,0.75,58.4,0.78,8,32,51,29.27,FALSE
6,10,15,6,0,11,9,15,17,32,138.3,0.16,6.14,848.67,0.05,47.15,3,2,1,4,2,2,0.33,2,1,0.5,0.06,1,6,1,0,22.54,0.5,1,6,32,71.43,FALSE
22,3,4,18,4,13,14,17,28,45,213.97,0.11,9.15,1958.65,0.07,108.81,5,2,2,4,2,3,0.14,2,3,1,0.1,0,10,1,0,23.37,0.33,1,9,30,30.77,FALSE
11,1,0,10,1,8,13,20,27,47,206.44,0.06,16.25,3354.63,0.07,186.37,5,4,0,8,4,3,0.27,2,1,0.33,0.23,1,10,1,0,12.7,0.33,2,9,13,9.09,FALSE
77,4,1,73,4,90,28,198,244,442,3042.13,0.03,30.8,93697.55,1.01,5205.42,43,40,22,82,41,22,0.29,2.05,21,0.95,0.27,1,118,12,0.52,98.77,0.55,21,98,83,6.41,FALSE
15,1,1,15,0,15,13,27,37,64,307.67,0.09,11.7,3599.75,0.1,199.99,13,4,4,16,8,7,0.47,4,6,0.86,0.39,0,21,7,1,26.3,1,6,16,18,6.25,FALSE
15,15,25,14,1,26,12,43,51,94,493.31,0.1,9.92,4895.11,0.16,271.95,5,4,4,8,4,3,0.2,2,3,1,0.05,1,11,1,0,49.71,0.33,2,10,56,65,FALSE
43,1,0,43,0,40,24,78,107,185,1110,0.04,23.4,25974,0.37,1443,19,8,10,16,8,13,0.3,2,9,0.69,0.29,1,51,3,0.17,47.44,0.23,4,40,45,0,FALSE
7,4,1,6,1,6,9,7,12,19,74.23,0.19,5.25,389.71,0.02,21.65,3,2,0,4,2,2,0.29,2,1,0.5,0.15,2,5,1,0,14.14,0.5,1,5,13,25,FALSE
31,17,8,26,5,37,22,92,108,200,1176.53,0.04,27.35,32179.65,0.39,1787.76,13,10,2,22,11,7,0.23,2.2,3,0.43,0.12,3,26,6,0.83,43.02,0.86,6,21,57,33.33,FALSE
46,5,2,43,3,25,14,86,100,186,983.08,0.04,24.08,23672.68,0.33,1315.15,19,18,1,36,18,10,0.22,2,2,0.2,0.19,1,42,6,0.56,40.83,0.6,9,34,54,10.42,FALSE
53,30,27,46,7,38,17,98,124,222,1283.46,0.05,21.92,28134.83,0.43,1563.05,21,20,7,40,20,11,0.21,2,5,0.45,0.1,3,49,7,0.6,58.55,0.64,10,40,111,42.5,TRUE
9,1,0,9,0,9,7,12,16,28,112,0.21,4.67,522.66,0.04,29.04,5,4,4,8,4,3,0.33,2,3,1,0.27,2,11,1,0,24,0.33,2,10,11,0,FALSE
13,9,6,10,3,13,10,17,25,42,189.99,0.15,6.54,1242.24,0.06,69.01,7,6,3,12,6,4,0.31,2,4,1,0.14,0,14,1,0,29.06,0.25,3,12,29,47.37,FALSE
18,4,0,18,0,22,14,40,46,86,444.61,0.08,12.73,5658.72,0.15,314.37,11,8,5,18,9,6,0.33,2.25,4,0.67,0.13,5,26,4,0.6,34.93,0.67,5,22,45,0,FALSE
16,2,0,2,14,37,11,74,94,168,938.27,0.09,11,10321.01,0.31,573.39,17,16,0,32,16,9,0.56,2,1,0.11,0.47,1,33,1,0,85.3,0.11,8,26,19,87.5,TRUE
12,0,0,12,0,10,8,10,15,25,104.25,0.25,4,416.99,0.03,23.17,3,2,1,4,2,2,0.17,2,2,1,0.15,2,6,1,0,26.06,0.5,1,6,13,0,FALSE
13,2,0,13,0,6,18,29,45,74,339.29,0.02,43.5,14758.99,0.11,819.94,13,8,2,20,10,7,0.54,2.5,5,0.71,0.44,2,24,6,0.83,7.8,0.86,6,19,16,0,FALSE
51,21,10,45,6,52,24,102,124,226,1412.03,0.04,23.54,33237.05,0.47,1846.5,19,14,3,32,16,10,0.2,2.29,5,0.5,0.12,0,39,3,0.22,59.99,0.3,9,31,83,26.23,FALSE
8,8,0,8,0,12,10,19,23,42,187.3,0.13,7.92,1482.76,0.06,82.38,3,2,3,4,2,2,0.25,2,2,1,0.12,1,10,1,0,23.66,0.5,1,10,17,0,FALSE
19,4,0,19,0,12,14,40,47,87,408.94,0.04,23.33,9541.89,0.14,530.11,11,8,2,18,9,6,0.32,2.25,2,0.33,0.25,0,21,3,0.4,17.53,0.5,5,17,24,0,FALSE
85,53,22,73,12,86,19,204,240,444,2981.13,0.04,22.53,67179.31,0.99,3732.18,21,18,5,38,19,11,0.13,2.11,8,0.73,0.07,0,52,4,0.3,132.29,0.36,10,43,161,31.78,TRUE
3,0,0,3,0,3,7,3,7,10,33.22,0.29,3.5,116.27,0.01,6.46,3,2,1,6,3,2,0.67,3,1,0.5,0.5,0,6,1,0,9.49,0.5,2,6,4,0,FALSE
16,1,0,16,0,10,15,28,32,60,278.63,0.05,21,5851.26,0.09,325.07,7,6,1,12,6,4,0.25,2,1,0.25,0.22,1,15,1,0,13.27,0.25,3,13,18,0,FALSE
15,10,3,11,4,19,13,32,35,67,335,0.09,10.95,3667.37,0.11,203.74,9,8,3,16,8,5,0.33,2,4,0.8,0.17,1,18,1,0,30.6,0.2,4,15,29,38.89,TRUE
12,10,3,11,1,19,17,44,47,91,470.46,0.05,19.68,9260.7,0.16,514.48,7,6,2,14,7,4,0.33,2.33,3,0.75,0.15,0,14,1,0,23.9,0.25,4,12,26,26.67,TRUE
8,0,0,8,0,8,8,15,16,31,124,0.13,7.5,930,0.04,51.67,3,2,1,4,2,2,0.25,2,1,0.5,0.22,4,8,1,0,16.53,0.5,1,8,9,0,FALSE
10,1,2,10,0,10,16,20,29,49,230.32,0.06,16,3685.14,0.08,204.73,9,6,1,12,6,5,0.5,2,5,1,0.36,1,14,5,1,14.4,1,3,11,14,16.67,FALSE
11,1,0,11,0,10,8,16,18,34,141.78,0.16,6.4,907.38,0.05,50.41,3,2,1,4,2,2,0.18,2,2,1,0.15,1,8,1,0,22.15,0.5,1,8,13,0,FALSE
8,1,0,8,0,8,8,23,24,47,188,0.09,11.5,2162,0.06,120.11,3,2,0,4,2,2,0.25,2,1,0.5,0.2,0,7,1,0,16.35,0.5,1,7,10,0,FALSE
21,2,0,18,3,15,17,42,52,94,470,0.04,23.8,11186,0.16,621.44,15,10,4,20,10,9,0.43,2,7,0.78,0.2,2,33,4,0.38,19.75,0.44,5,26,44,14.29,FALSE
21,25,10,21,0,28,14,58,66,124,668.65,0.07,14.5,9695.39,0.22,538.63,3,2,1,4,2,2,0.1,2,1,0.5,0.04,0,8,1,0,46.11,0.5,1,8,57,32.25,FALSE
45,4,2,43,2,45,26,99,122,221,1359.09,0.03,28.6,38870.09,0.45,2159.45,20,12,8,24,12,12,0.27,2,5,0.42,0.23,0,48,1,0,47.52,0.08,6,38,52,8.51,FALSE
34,9,0,33,1,36,18,84,92,176,1012.86,0.05,21,21270.06,0.34,1181.67,13,12,0,24,12,7,0.21,2,1,0.14,0.16,0,30,1,0,48.23,0.14,6,25,44,2.94,FALSE
7,1,0,7,0,8,12,15,21,36,155.59,0.09,11.25,1750.38,0.05,97.24,7,6,0,12,6,4,0.57,2,1,0.25,0.44,1,13,3,0.67,13.83,0.75,3,11,9,0,FALSE
37,28,23,32,5,50,13,92,108,200,1195.46,0.08,11.96,14297.65,0.4,794.31,9,8,4,16,8,5,0.14,2,5,1,0.06,2,23,1,0,99.95,0.2,4,20,89,46.67,TRUE
7,0,0,7,0,6,8,17,18,35,133.26,0.09,11.33,1510.25,0.04,83.9,3,2,0,4,2,2,0.29,2,1,0.5,0.25,3,7,1,0,11.76,0.5,1,7,8,0,FALSE
7,1,0,7,0,5,7,6,11,17,60.94,0.24,4.2,255.97,0.02,14.22,3,2,0,4,2,2,0.29,2,1,0.5,0.22,1,5,1,0,14.51,0.5,1,5,9,0,FALSE
